name	website	university_id
School of Civic Leadership	https://www.utexas.edu/cola/leadership/	166
School of Information	https://www.ischool.utexas.edu/	166
Texas Undergraduate College	https://undergradcollege.utexas.edu/	166
Steve Hicks School of Social Work	https://socialwork.utexas.edu/	166
School of Nursing	https://nursing.utexas.edu/	166
School of Law	https://law.utexas.edu/	166
Faculty of Arts and Humanities	https://www.sorbonne-universite.fr/en/university/governance-and-organization/faculties/faculty-arts-and-humanities	167
Faculty of Science and Engineering	https://www.sorbonne-universite.fr/en/university/governance-and-organization/faculties/faculty-science-and-engineering	167
Faculty of Medicine	https://www.sorbonne-universite.fr/en/university/governance-and-organization/faculties/faculty-medicine	167
Faculty of Sport Sciences	https://www.sorbonne-universite.fr/en/university/governance-and-organization/faculties/faculty-sport-sciences	167
School of Arts & Humanities	https://artsandhumanities.ucsd.edu/	170
School of Biological Sciences	https://biology.ucsd.edu/	170
Halicioğlu Data Science Institute	https://datascience.ucsd.edu/	170
School of Social Sciences	https://socialsciences.ucsd.edu/	170
Rady School of Management	https://rady.ucsd.edu/	170
School of Physical Sciences	https://physicalsciences.ucsd.edu/	170
Jacobs School of Engineering	https://jacobsschool.ucsd.edu/	170
School of Global Policy and Strategy	https://gps.ucsd.edu/	170
College of Arts and Sciences	https://artsci.washington.edu/	171
College of Built Environments	https://be.uw.edu/	171
Foster School of Business	https://foster.uw.edu/	171
Paul G. Allen School of Computer Science & Engineering	https://www.cs.washington.edu/	171
School of Denistry	https://dental.washington.edu/	171
College of Education	https://education.uw.edu/	171
College of Engineering	https://www.engr.washington.edu/	171
College of The Environment	https://environment.uw.edu/	171
The Graduate School	https://grad.uw.edu/	171
The Heny M. Jackson School of International Studies	https://jsis.washington.edu/	171
School of Law	https://www.law.uw.edu/	171
Information School	https://ischool.uw.edu/	171
School of Medicine	https://www.uwmedicine.org/	171
School of Nursing	https://nursing.uw.edu/	171
School of Pharmacy	https://sop.washington.edu/	171
Evans School of Public Policy & Governance	https://evans.uw.edu/	171
School of Public Health	https://sph.washington.edu/	171
School of Social Work	https://socialwork.uw.edu/	171
Carle Illinois College of Medicine	https://medicine.illinois.edu/	172
College of Agricultural, Consumer & Environmental Sciences	https://aces.illinois.edu/	172
College of Applied Health Sciences	https://www.ahs.illinois.edu/	172
College of Education	https://education.illinois.edu/	172
College of Fine & Applied Arts	https://faa.illinois.edu/	172
College of Law	https://law.illinois.edu/	172
College of Liberal Arts & Sciences	https://las.illinois.edu/	172
College of Media	https://media.illinois.edu/	172
College of Veterinary Medicine	https://vetmed.illinois.edu/	172
Division of General Studies	https://dgs.illinois.edu/	172
Gies College of Business	https://giesbusiness.illinois.edu/	172
Grainger College of Engineering	https://grainger.illinois.edu/	172
School of Social Work	https://socialwork.illinois.edu/	172
School of Information Sciences	https://ischool.illinois.edu/	172
School of Labor and Employment Relations	https://ler.illinois.edu/	172
